epoch	train	val	solvent	solute
0	6.843407226018584	tensor(2.4552)	tensor(0.9893)	tensor(8.3070)
1	1.8666349492355336	tensor(2.0606)	tensor(1.0084)	tensor(7.1756)
2	1.6546065040942897	tensor(1.8066)	tensor(0.7504)	tensor(6.8156)
3	1.4379896968887689	tensor(1.4985)	tensor(0.5832)	tensor(7.2997)
4	1.2784834581905684	tensor(1.3052)	tensor(0.5306)	tensor(6.6936)
5	1.1836245298233858	tensor(1.1929)	tensor(0.6074)	tensor(6.6381)
6	1.0693862618799046	tensor(1.1894)	tensor(0.5352)	tensor(6.7539)
7	1.0182945426295018	tensor(1.1703)	tensor(0.5095)	tensor(6.4717)
8	0.8868445020659876	tensor(1.0040)	tensor(0.4031)	tensor(6.7548)
9	0.8251255734721086	tensor(1.0053)	tensor(0.5480)	tensor(6.7640)
10	0.8157431276492599	tensor(0.8339)	tensor(0.4373)	tensor(5.9406)
11	0.7067642539720639	tensor(1.0005)	tensor(0.6637)	tensor(6.4971)
