	water	octanol	hexadecane	chloroform	cyclohexane	carbontet	benzene	diethylether	heptane	hexane	toluene	xylene	dichloroethane	decane	chlorobenzene	octane	isooctane	ethylbenzene	decalin	bromobenzene	nonane	pentane	ethylacetate	diisopropylether	butylacetate	pentanol	butanol	iodobenzene	isopropylbenzene	isobutanol	tributylphosphate	carbondisulfide	dibutylether	perfluorobenzene	nitrobenzene	hexanol	tbutylbenzene	4methyl2pentanone	undecane	butanone	heptanol	bromoform	chlorohexane	decanol	odichlorobenzene	methylenechloride	trimethylbenzene	butylbenzene	benzylalcohol	aniline	cyclohexanone	nonanol	dibromoethane	tetrachloroethene	secbutanol	tetralin	hexadecyliodide	pentadecane	acetophenone	anisole	dodecane	ethanol	pyridine	benzonitrile	bromoethane	propanol	ethoxybenzene	fluorobenzene	nitromethane	nitroethane	tetrahydrothiophenedioxide	methylformamide	triethylamine	mesitylene	mcresol	isopropanol	dimethylacetamide	dimethylformamide	acetonitrile	dimethylsulfoxide	aceticacid	tetrahydrofuran	2methylpyridine	phenylether	onitrotoluene	methoxyethanol	isopropyltoluene	dimethylpyridine	fluoroctane	secbutylbenzene	bromooctane
ethanol	-5.01	-4.36	-2.03	-3.94	-2.42	-2.96	-3.42	-4.41	-2.15	-2.73	-3.33	-3.42	-2.83	-2.44	-3.3	-2.15	-2.44	-2.49		-3.26	-2.15	-2.15	-4.24	-3.9	-3.97		-5.02	-3.18	-2.9		-4.57	-2.72	-3.51							-4.46		-3.24			-2.34	-3.82			-4.84	-4.45	-4.41		-2.69			-1.54			-4.12	-3.59	-2.06	-5.04	-5.08	-4.05		-5.01	-3.45	-3.45	-4.16	-3.98	-4.3	-5.12	-4.02		-5.58	-4.84	-5.4	-5.23	-4.43	-5.25	-5.25	-4.56	-5.01	-3.22		-4.71		-4.87			
toluene	-0.89	-4.55	-4.54	-5.48	-4.9	-5.12	-5.32	-5.23	-4.78	-4.84	-5.12	-5.06		-4.65	-5.18	-4.82	-4.68		-4.37	-5.13			-5.05	-4.91		-4.25	-4.5	-4.99				-5.39	-4.87			-4.27			-4.81	-5.06	-4.33					-5.53			-4.46	-4.57	-5.05	-4.34					-4.41		-4.9	-4.95		-4.57	-5.1	-4.95	-5.55	-4.47	-4.99	-5.27	-4.52	-4.88	-4.23	-4.34	-4.98		-4.58	-4.38	-4.94	-4.88	-4.68	-4.42	-4.53	-5.5	-5.06	-4.86		-4.49		-5.03			
2-butanone	-3.64	-3.78	-3.12	-5.43	-3.48	-4.09	-4.46	-4.09	-3.36	-3.48	-4.27	-4.23		-3.3	-4.47	-3.24	-3.4	-4.12		-4.37	-3.2			-3.96			-4.12	-4.22	-4.02			-3.85	-3.78				-3.94			-4.5			-4.1				-3.97		-4.57	-4.87	-4.42					-3.12			-4.39	-4.43		-4.32	-4.61	-4.58	-5.13	-4.15	-4.28	-4.6	-4.72	-4.73	-4.09	-4.34	-3.86	-3.95	-5.98	-4.07	-4.52	-4.56	-4.73	-4.23	-4.8	-4.54	-4.52	-4.08		-4.28		-4.34			
n-octane	2.89	-4.18	-5.02	-5.25	-5.63	-5.39	-5.35	-5.62		-5.46	-5.38	-5.29		-5.18	-5.16	-5.28	-5.44			-5.02			-4.72	-5.38			-4.45	-4.72				-5.68	-5.24							-4.64						-5.18			-3.77	-3.48	-4.57								-4.24	-4.62		-4.23	-4.5	-4.34	-5.54	-4.39	-4.75	-4.99	-3.15	-3.89	-2.44	-3.34	-5.62		-4.02	-4.5	-3.94	-3.77	-3.57	-2.84	-3.93	-5.39	-4.73	-4.38		-3.71		-4.88			
nitromethane	-3.95	-3.51	-2.58	-4.68	-2.86	-3.52	-4.5	-4.19		-2.9	-4.31	-4.2		-2.81	-4.32		-2.82			-4.25			-5.06	-3.9			-3.93	-4.1				-3.3	-3.67	-4.3	-4.9					-5.24						-5.05			-4.53	-5.11	-5.09								-4.92	-4.69		-4.34	-5.11	-5.05	-4.54	-4.04	-4.45	-4.62	-5.38	-5.35	-5.28	-5.11	-3.63		-4.73	-4.0	-5.62	-5.66	-5.62	-5.66	-4.88	-5.09		-4.19		-5.06					
"1,4-dioxane"	-5.05	-4.89	-3.82	-6.21	-4.17	-4.97	-5.21	-4.67		-4.08	-4.91	-4.86		-3.97	-5.08		-4.02			-5.02			-5.03	-4.42				-4.94				-4.67	-4.37							-5.02						-5.33			-5.39	-5.65	-4.95								-5.03	-5.06		-4.68	-5.14	-5.14	-5.39	-4.61	-4.87	-5.18	-5.46	-5.28	-4.9	-4.86	-4.41		-6.82	-4.49	-5.01	-5.03	-5.33	-4.9	-5.8	-5.17	-5.01	-4.83		-4.91		-4.9			
phenol	-6.62	-8.69	-5.14	-7.14	-5.57	-6.14	-7.12	-8.75	-5.32	-5.49	-6.93	-6.83	-7.48	-5.5	-6.96	-5.47	-5.3	-6.82	-5.38	-6.87	-5.6	-5.67	-8.7	-8.35	-8.96	-8.55		-6.76				-6.27			-7.86	-8.76		-9.38			-8.69	-6.88		-8.58		-7.5		-6.76				-8.61	-7.22	-6.1																				-6.8											-7.79						
aceticacid	-6.7	-6.35	-2.39	-4.74	-1.73	-3.64	-4.02	-6.26		-2.83	-4.0	-4.08	-4.89						-4.49				-6.46	-5.73	-6.11	-6.65	-6.81			-6.8	-7.11	-2.98	-5.21		-4.78	-6.51		-6.33		-6.88	-6.7	-4.54							-6.96	-6.3	-6.43				-6.81				-6.2																						-5.3				-4.68						
ethylacetate	-3.1	-4.06	-3.25	-5.58	-3.56	-4.4	-4.53		-3.5	-3.62	-4.41	-4.26	-4.93	-3.43	-4.63	-3.48		-4.31	-3.47	-4.57	-3.45	-3.69	-4.46						-4.22	-4.27		-4.08		-4.56			-4.22						-4.25											-4.22				-3.37																															-4.16	-4.11	-3.97
methylacetate	-3.32	-3.54	-2.67	-4.9	-3.06	-3.82	-4.04		-2.97	-3.12	-3.81	-3.7	-4.55	-2.98	-4.0	-3.06		-3.74	-2.9	-3.87	-3.02	-3.13										-3.67		-4.23			-3.57						-3.66				-3.58							-3.63				-2.82																													-3.32		-3.59	-3.91	-3.35
