Solvent	Name	nD	alpha	beta	gamma	epsilon	phi	psi
2-methylpyridine	2methylpyridine	1.4957	0.000	0.580	47.5	9.9533	0.714	0.000
4-methyl-2-pentanone	4methyl2pentanone	1.3962	0.000	0.510	33.83	12.887	0.000	0.000
acetic acid	aceticacid	1.3720	0.610	0.440	39.01	6.2528	0.000	0.000
acetonitrile	acetonitrile	1.3442	0.070	0.320	41.25	35.688	0.000	0.000
acetophenone	acetophenone	1.5372	0.000	0.480	56.19	17.44	0.667	0.000
aniline	aniline	1.5863	0.260	0.410	60.62	6.8882	0.857	0.000
anisole	anisole	1.5174	0.000	0.290	50.52	4.2247	0.750	0.000
benzene	benzene	1.5011	0.000	0.140	40.62	2.2706	1.000	0.000
benzonitrile	benzonitrile	1.5289	0.000	0.330	55.83	25.592	0.750	0.000
benzyl alcohol	benzylalcohol	1.5396	0.330	0.560	52.96	12.457	0.750	0.000
bromobenzene	bromobenzene	1.5597	0.000	0.090	50.72	5.3954	0.857	0.143
bromoethane	bromoethane	1.4239	0.000	0.120	34	9.01	0.000	0.333
bromoform	bromoform	1.6005	0.150	0.060	64.58	4.2488	0.000	0.750
1-bromooctane	bromooctane	1.4524	0.000	0.120	41.28	5.0244	0.000	0.111
1-butanol	butanol	1.3993	0.370	0.480	35.88	17.332	0.000	0.000
butanone	butanone	1.3788	0.000	0.510	34.5	18.246	0.000	0.000
butyl ethanoate	butylacetate	1.3941	0.000	0.450	35.81	4.9941	0.000	0.000
n-butylbenzene	butylbenzene	1.4898	0.000	0.150	41.33	2.36	0.600	0.000
carbon disulfide	carbondisulfide	1.6319	0.000	0.070	45.45	2.6105	0.000	0.000
carbon tetrachloride	carbontet	1.4601	0.000	0.000	38.04	2.2280	0.000	0.800
chlorobenzene	chlorobenzene	1.5241	0.000	0.070	47.48	5.6968	0.857	0.143
chloroform	chloroform	1.4459	0.150	0.020	38.39	4.7113	0.000	0.750
1-chlorohexane	chlorohexane	1.4199	0.000	0.100	37.03	5.9491	0.000	0.143
cyclohexane	cyclohexane	1.4266	0.000	0.000	35.48	2.0165	0.000	0.000
cyclohexanone	cyclohexanone	1.4507	0.000	0.560	49.76	15.619	0.000	0.000
decalin (cis/trans mixture)	decalin	1.4753	0.000	0.000	43.82	2.196	0.000	0.000
n-decane	decane	1.4102	0.000	0.000	33.64	1.9846	0.000	0.000
1-decanol	decanol	1.4372	0.370	0.480	41.04	7.5305	0.000	0.000
"1,2-dibromoethane"	dibromoethane	1.5387	0.100	0.170	56.93	4.9313	0.000	0.500
dibutylether	dibutylether	1.3992	0.000	0.450	35.98	3.0473	0.000	0.000
"1,2-dichloroethane"	dichloroethane	1.4448	0.100	0.110	45.86	10.125	0.000	0.500
diethyl ether	diethylether	1.3526	0.000	0.410	23.96	4.2400	0.000	0.000
diisopropyl ether	diisopropylether	1.3679	0.000	0.410	24.86	3.38	0.000	0.000
"N,N-dimethylacetamide"	dimethylacetamide	1.4380	0.000	0.780	47.62	37.781	0.000	0.000
"N,N-dimethylformamide"	dimethylformamide	1.4305	0.000	0.740	49.56	37.219	0.000	0.000
"2,4-dimethylpyridine"	dimethylpyridine	1.5010	0.000	0.630	46.86	9.4176	0.625	0.000
dimethylsulfoxide	dimethylsulfoxide	1.4170	0.000	0.880	61.78	46.826	0.000	0.000
n-dodecane	dodecane	1.4216	0.000	0.000	35.85	2.0060	0.000	0.000
ethanol	ethanol	1.3611	0.370	0.480	31.62	24.852	0.000	0.000
ethyl phenyl ether	ethoxybenzene	1.5076	0.000	0.320	46.65	4.1797	0.667	0.000
ethyl ethanoate	ethylacetate	1.3723	0.000	0.450	33.67	5.9867	0.000	0.000
ethylbenzene	ethylbenzene	1.4959	0.000	0.150	41.38	2.4339	0.750	0.000
fluorobenzene	fluorobenzene	1.4684	0.000	0.100	38.37	5.42	0.857	0.143
1-fluorooctane	fluoroctane	1.3935	0.000	0.100	33.92	3.89	0.000	0.111
