No.	FileHandle	SoluteName	Formula	Subset	Charge	Level1	Level2	Level3	Solvent	DeltaGsolv	type	eps	n	alpha	beta	gamma	phi**2	psi**2	beta**2	H	C	HC	CC	CC2	N	HN	HN2	CN	NC	NC2	NC3	O	HO	HO2	OC	CO2	ON	OO	F	Cl	Br	I	FC	ClC	BrC	IC	Si	OSi	P	HP	OP	S	HS	OS	SP	SS	TotalArea
1	0008noc	n-octane	H18C8	[g]	0	2	1	1	2methylpyridine	-4.73	abs	9.9533	1.4957	0	0.58	47.5	0.509796	0	0.3364	207.769	36.077	139.807	33.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.846
2	0036tol	toluene	H8C7	[g]	0	2	1	6	2methylpyridine	-5.06	abs	9.9533	1.4957	0	0.58	47.5	0.509796	0	0.3364	98.561	67.889	66.586	87.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.45
3	0045eth	ethanol	H6C2O1	[g]	0	2	2	1	2methylpyridine	-5.01	abs	9.9533	1.4957	0	0.58	47.5	0.509796	0	0.3364	77.419	14.671	42.861	9.102	0	0	0	0	0	0	0	0	18.095	9.835	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.185
4	0062dio	"1,4-dioxane"	H8C4O2	[g]	0	2	3	0	2methylpyridine	-5.01	abs	9.9533	1.4957	0	0.58	47.5	0.509796	0	0.3364	97.289	20.715	65.452	12.801	0	0	0	0	0	0	0	0	28.312	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.316
5	0076but	2-butanone	H8C4O1	[g]	0	2	4	2	2methylpyridine	-4.52	abs	9.9533	1.4957	0	0.58	47.5	0.509796	0	0.3364	96.603	29.05	65.096	24.549	0	0	0	0	0	0	0	0	22.451	0	0	14.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.104
6	0119met	2-methylpyridine	H7C6N1	[g]	0	3	3	1	2methylpyridine	-5.71	abs	9.9533	1.4957	0	0.58	47.5	0.509796	0	0.3364	87.059	60.697	58.819	66.119	0	13.07	0	0	8.805	40.972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.826
7	0041nap	naphthalene	H8C10	[g]	0	2	1	6	4methyl2pentanone	-7.45	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	98.761	96.028	66.823	135.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.789
8	0053phe	phenol	H6C6O1	[g]	0	2	2	2	4methyl2pentanone	-9.38	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	74.866	60.488	42.537	81.184	0	0	0	0	0	0	0	0	18.392	8.575	0	4.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.746
9	0056mcr	m-cresol	H8C7O1	[g]	0	2	2	2	4methyl2pentanone	-8.79	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	96.138	62.885	56.85	81.215	0	0	0	0	0	0	0	0	18.419	8.543	0	4.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.442
10	0086eth	aceticacid	H4C2O2	[g]	0	2	5	0	4methyl2pentanone	-6.33	abs	12.8871	1.3962	0	0.51	33.83	0	0	0.2601	50.326	18.311	25.273	11.467	0	0	0	0	0	0	0	0	43.233	9.17	0	21.68	8.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.87
