,water,octanol,hexadecane,chloroform,cyclohexane,carbontet,benzene,diethylether,heptane,hexane,toluene,xylene,decane,dichloroethane,octane,chlorobenzene,isooctane,ethylbenzene,bromobenzene,pentane,decalin,nonane,pentanol,diisopropylether,butylacetate,ethylacetate,butanol,iodobenzene,isopropylbenzene,isobutanol,tributylphosphate,perfluorobenzene,carbondisulfide,dibutylether,nitrobenzene,hexanol,tbutylbenzene,undecane,butanone,4methyl2pentanone,bromoform,heptanol,trimethylbenzene,odichlorobenzene,chlorohexane,methylenechloride,decanol,butylbenzene,benzylalcohol,tetrachloroethene,nonanol,aniline,dibromoethane,cyclohexanone,acetophenone,tetralin,secbutanol,hexadecyliodide,pentadecane,anisole,ethanol,dodecane,mesitylene,pyridine,dimethylsulfoxide,nitromethane,ethoxybenzene,isopropanol,triethylamine,propanol,tetrahydrothiophenedioxide,acetonitrile,benzonitrile,nitroethane,mcresol,dimethylformamide,dimethylacetamide,bromoethane,fluorobenzene,methylformamide,aceticacid,tetrahydrofuran
ethanol,-5.01,-4.36,-2.03,-3.94,-2.42,-2.96,-3.42,-4.41,-2.15,-2.73,-3.33,-3.42,-2.44,-2.83,-2.15,-3.3,-2.44,-2.49,-3.26,-2.15,,-2.15,,-3.9,-3.97,-4.24,-5.02,-3.18,-2.9,,-4.57,,-2.72,-3.51,,,,,-4.46,,-3.24,,,-2.34,,-3.82,,,-4.84,,,-4.45,-2.69,-4.41,-4.12,-1.54,,,,-3.59,-5.04,-2.06,,-5.08,-5.25,-4.16,-3.45,-4.84,-4.02,-5.01,-4.3,-4.43,-4.05,-3.98,-5.58,-5.23,-5.4,,-3.45,-5.12,-5.25,-4.56
toluene,,-4.55,-4.54,-5.48,-4.9,-5.12,-5.32,-5.23,-4.78,-4.84,-5.12,-5.06,-4.65,,-4.82,-5.18,-4.68,,-5.13,,-4.37,,-4.25,-4.91,,-5.05,-4.5,-4.99,,,,,-5.39,-4.87,,-4.27,,-4.81,-5.06,,,-4.33,,,,-5.53,,,-4.46,,-4.34,-4.57,,-5.05,-4.9,,,-4.41,,-4.95,-4.57,,,-5.1,-4.42,-4.52,-4.99,-4.38,-4.98,-4.47,-4.23,-4.68,-4.95,-4.88,-4.58,-4.88,-4.94,-5.55,-5.27,-4.34,-4.53,-5.5
2-butanone,-3.64,-3.78,-3.12,-5.43,-3.48,-4.09,-4.46,-4.09,-3.36,-3.48,-4.27,-4.23,-3.3,,-3.24,-4.47,-3.4,-4.12,-4.37,,,-3.2,,-3.96,,,-4.12,-4.22,-4.02,,,,-3.85,-3.78,,,-3.94,,-4.5,,,,-3.97,,-4.1,,,,-4.57,,,-4.87,,-4.42,-4.39,-3.12,,,,-4.43,-4.32,,-3.95,-4.61,-4.23,-4.72,-4.28,-4.07,-3.86,-4.15,-4.09,-4.73,-4.58,-4.73,-5.98,-4.56,-4.52,-5.13,-4.6,-4.34,-4.8,-4.54
n-octane,2.89,-4.18,-5.02,-5.25,-5.63,-5.39,-5.35,-5.62,,-5.46,-5.38,-5.29,-5.18,,-5.28,-5.16,-5.44,,-5.02,,,,,-5.38,,-4.72,-4.45,-4.72,,,,,-5.68,-5.24,,,,,-4.64,,,,,,,-5.18,,,-3.77,,,-3.48,,-4.57,-4.24,,,,,-4.62,-4.23,,,-4.5,-2.84,-3.15,-4.75,-4.5,-5.62,-4.39,-2.44,-3.57,-4.34,-3.89,-4.02,-3.77,-3.94,-5.54,-4.99,-3.34,-3.93,-5.39
nitromethane,-3.95,-3.51,-2.58,-4.68,-2.86,-3.52,-4.5,-4.19,,-2.9,-4.31,-4.2,-2.81,,,-4.32,-2.82,,-4.25,,,,,-3.9,,-5.06,-3.93,-4.1,,,,-4.3,-3.3,-3.67,-4.9,,,,-5.24,,,,,,,-5.05,,,-4.53,,,-5.11,,-5.09,-4.92,,,,,-4.69,-4.34,,,-5.11,-5.66,-5.38,-4.45,-4.0,-3.63,-4.04,-5.28,-5.62,-5.05,-5.35,-4.73,-5.66,-5.62,-4.54,-4.62,-5.11,-4.88,-5.09
"1,4-dioxane",-5.05,-4.89,-3.82,-6.21,-4.17,-4.97,-5.21,-4.67,,-4.08,-4.91,-4.86,-3.97,,,-5.08,-4.02,,-5.02,,,,,-4.42,,-5.03,,-4.94,,,,,-4.67,-4.37,,,,,-5.02,,,,,,,-5.33,,,-5.39,,,-5.65,,-4.95,-5.03,,,,,-5.06,-4.68,,,-5.14,-4.9,-5.46,-4.87,-4.49,-4.41,-4.61,-4.9,-5.33,-5.14,-5.28,-6.82,-5.03,-5.01,-5.39,-5.18,-4.86,-5.8,-5.17
phenol,-6.62,-8.69,-5.14,-7.14,-5.57,-6.14,-7.12,-8.75,-5.32,-5.49,-6.93,-6.83,-5.5,-7.48,-5.47,-6.96,-5.3,-6.82,-6.87,-5.67,-5.38,-5.6,-8.55,-8.35,-8.96,-8.7,,-6.76,,,,,-6.27,,-7.86,-8.76,,,,-9.38,-6.88,-8.69,,,,-7.5,-8.58,-6.76,,-6.1,-8.61,,-7.22,,,,,,,,,,-6.8,,,,,,,,,,,,,,,,,,,
acetic acid,-6.7,-6.35,-2.39,-4.74,-1.73,-3.64,-4.02,-6.26,,-2.83,-4.0,-4.08,,-4.89,,,,,,,-4.49,,-6.65,-5.73,-6.11,-6.46,-6.81,,,-6.8,-7.11,,-2.98,-5.21,-4.78,-6.51,,,-6.88,-6.33,-4.54,-6.7,,,,,,,-6.96,,,-6.3,,-6.43,-6.2,,-6.81,,,,,,,,,,,,,,,,,,,,,,,,-5.3,
ethyl acetate,-3.1,-4.06,-3.25,-5.58,-3.56,-4.4,-4.53,,-3.5,-3.62,-4.41,-4.26,-3.43,-4.93,-3.48,-4.63,,-4.31,-4.57,-3.69,-3.47,-3.45,,,,-4.46,,,-4.22,-4.27,,-4.56,-4.08,,,,-4.22,,,,,,,,-4.25,,,,,-4.22,,,,,,,,,-3.37,,,,,,,,,,,,,,,,,,,,,,,
butyl acetate,-2.55,-4.96,-4.61,-6.71,-4.94,-5.59,-5.78,,-4.83,-4.86,-5.57,-5.4,-4.66,-5.93,-4.8,-5.74,,-5.48,-5.58,-4.88,-4.71,-4.69,,,-5.52,,,,-5.36,,,-5.52,,,,,-5.25,,,,,,,,-5.37,,,-5.28,,-5.35,,,,,,,,,-4.49,,,,,,,,,,,,,,,,,,,,,,,
